time,major_location,setting,locale,int_or_ext,flow_of_time,time_of_day
4131.76,New York,Dan's apartment,Dan's apartment,int,0,night
4134.96,New York,Dan's apartment,Dan's apartment,int,0,night
4138.52,New York,Dan's apartment,Dan's apartment,int,0,night
4144.12,New York,Dan's apartment,Dan's apartment,int,0,night
4159.92,New York,Dan's apartment,Dan's apartment,int,0,night
4163.28,New York,Dan's apartment,Dan's apartment,int,0,night
4190,New York,Dan's apartment,Dan's apartment,int,0,night
4195.24,New York,Dan's apartment,Dan's apartment,int,0,night
4200.68,New York,Dan's apartment,Dan's apartment,int,0,night
4207.96,New York,Dan's apartment,Dan's apartment,int,0,night
4210.4,New York,Dan's apartment,Dan's apartment,int,0,night
4212.08,New York,Dan's apartment,Dan's apartment,int,0,night
4213.16,New York,bar in New York,bar in New York,int,++,night
4310.08,California,apartment with mirrored wall,apartment with mirrored wall,int,0,night
4342.88,New York,bar in New York,bar in New York,int,0,night
4374.2,Washington D.C.,White House,front of White House (broadcast),ext,++,day
4378.84,Savannah,bench at bus stop,bench at bus stop,ext,++,day
4391.12,Washington D.C.,White House,unknown_2 (broadcast),int,-,day
4408.52,Washington D.C.,Watergate Hotel,room in Watergate Hotel,int,++,night
4431.4,United States,gymnasium,gymnasium,int,++,day
4452.72,United States,gymnasium,gymnasium,int,0,day
4487.92,Gump property,Gump House,front of Gump House,ext,++,day
4504.04,Gump property,Gump House,front of Gump House,ext,0,day
4507.6,Gump property,Gump House,corridor downstairs,int,0,day
4544.32,Bayou La Batre,Bubba's Home,Bubba's Home,ext,++,day
4554.96,Bayou La Batre,Bubba's Home,Bubba's Home,ext,+,day
4559.32,Bayou La Batre,Bubba's Home,Bubba's Home,ext,0,day
4561.56,Bayou La Batre,Bubba's Home,Bubba's Home,ext,0,day
4563.4,Bayou La Batre,Bubba's Grave,Bubba's Grave,ext,+,day
4566.88,Bayou La Batre,Bubba's Grave,Bubba's Grave,ext,0,day
4571.68,Bayou La Batre,Bubba's Grave,Bubba's Grave,ext,0,day
4588.6,Bayou La Batre,harbor,gangplank to ships,ext,+,day
4597.72,Bayou La Batre,harbor,stall,ext,+,day
4604.68,Bayou La Batre,Bubba's Grave,Bubba's Grave,ext,+,day
4614.48,Bayou La Batre,Bubba's Grave,Bubba's Grave,ext,0,day
4629.04,Bayou La Batre,on the boat,on the boat,ext,++,day
4644.96,Bayou La Batre,on the boat,on the boat,ext,0,day
4658.88,Bayou La Batre,harbor,landing stages,ext,++,day
4681.2,Bayou La Batre,harbor,landing stages,ext,0,day
4689.04,California,Disco,Disco,int,+,night
4708.36,Bayou La Batre,on the boat,on the boat,ext,+,day
4713.8,California,apartment with balcony,bedroom,int,+,night
4737.2,California,apartment with balcony,bedroom,int,0,night
4742.28,California,apartment with balcony,balcony,ext,0,night
4749.4,California,apartment with balcony,balcony,ext,0,night
4761.96,California,apartment with balcony,balcony,ext,0,night
4764.44,California,apartment with balcony,balcony,ext,0,night
4768,California,apartment with balcony,balcony,ext,0,night
4770.96,California,apartment with balcony,balcony,ext,0,night
4772.72,California,apartment with balcony,balcony,ext,0,night
4774.8,California,apartment with balcony,balcony,ext,0,night
4776.16,California,apartment with balcony,balcony,ext,0,night
4782.52,California,apartment with balcony,balcony,ext,0,night
4800.6,Bayou La Batre,on the boat,on the boat,ext,0,night
4818.76,Bayou La Batre,harbor,jetty,ext,++,day
4830.36,Bayou La Batre,harbor,jetty,ext,0,day
4832.8,Bayou La Batre,harbor,jetty,ext,0,day
4837.72,Bayou La Batre,harbor,jetty,ext,0,day
4839.44,Bayou La Batre,harbor,jetty,ext,0,day
4840.96,Bayou La Batre,harbor,jetty,ext,0,day
4844,Bayou La Batre,harbor,jetty,ext,0,day
4850,Bayou La Batre,harbor,jetty,ext,0,day
4871,Bayou La Batre,harbor,jetty,ext,0,day
4873.32,Bayou La Batre,harbor,jetty,ext,0,day
4875.4,Bayou La Batre,harbor,jetty,ext,0,day
4884.08,Bayou La Batre,harbor,jetty,ext,0,day
4889.56,Bayou La Batre,harbor,jetty,ext,0,day
4897.44,Bayou La Batre,harbor,jetty,ext,0,day
4900.44,Bayou La Batre,harbor,jetty,ext,0,day
4902.56,Bayou La Batre,harbor,jetty,ext,0,day
4916.96,Bayou La Batre,on the boat,on the boat,ext,++,day
4922.68,Bayou La Batre,on the boat,on the boat,ext,0,day
4935.4,Bayou La Batre,on the boat,on the boat,ext,0,day
4943.48,Bayou La Batre,on the boat,on the boat,ext,0,day
4951.16,Bayou La Batre,on the boat,on the boat,ext,+,day
4973.56,Bayou La Batre,Foursquare Church,Foursquare Church,int,++,day
4982.16,Bayou La Batre,Foursquare Church,Foursquare Church,int,0,day
4989.16,Bayou La Batre,on the boat,on the boat,ext,++,day
5014.44,Bayou La Batre,on the boat,on the boat,ext,++,day
5031.72,Bayou La Batre,on the boat,on the boat,ext,0,day
5043.96,Bayou La Batre,on the boat,on the boat,ext,0,day
5047.8,Bayou La Batre,on the boat,on the boat,ext,0,day
5053.24,Bayou La Batre,on the boat,on the boat,ext,0,day
5058.76,Bayou La Batre,on the boat,on the boat,ext,0,day
5064.56,Gump property,Gump House,living room,int,++,day
5066.6,Bayou La Batre,harbor,yet another jetty,ext,0,day
5074.16,Gump property,Gump House,living room,int,0,day
5084.6,Gump property,Gump House,living room,int,0,day
5087.04,Gump property,Gump House,living room,int,0,day
5090.08,Bayou La Batre,on the boat,on the boat,ext,++,day
5091.36,Bayou La Batre,on the boat,on the boat,ext,++,day
5092.8,Bayou La Batre,on the boat,on the boat,ext,++,day
5099.68,Savannah,bench at bus stop,bench at bus stop,ext,++,day
5118.64,Savannah,bench at bus stop,bench at bus stop,ext,0,day
5123.24,Savannah,bench at bus stop,bench at bus stop,ext,0,day
5141.32,Savannah,bench at bus stop,bench at bus stop,ext,0,day
5144.84,Savannah,bench at bus stop,bench at bus stop,ext,0,day
5161.96,Savannah,bench at bus stop,bench at bus stop,ext,0,day
5163.88,Savannah,bench at bus stop,bench at bus stop,ext,0,day
5166.76,Bayou La Batre,on the boat,on the boat,ext,-,day
5168.48,Bayou La Batre,on the boat,on the boat,ext,0,day
5171.08,Bayou La Batre,on the boat,on the boat,ext,0,day
5177.4,Bayou La Batre,on the boat,on the boat,ext,0,day
5178.76,Bayou La Batre,on the boat,on the boat,ext,0,day
5181.4,Bayou La Batre,on the boat,on the boat,ext,0,day
5182.68,Bayou La Batre,on the boat,on the boat,ext,0,day
5193.08,Bayou La Batre,on the boat,on the boat,ext,0,day
5197.96,Bayou La Batre,on the boat,on the boat,ext,0,day
5207.84,Savannah,bench at bus stop,bench at bus stop,ext,++,day
5237.76,Greenbow Alabama,football field,on the football field,ext,-,day
5242.36,Gump property,access-road,at the mail boxes,ext,++,day
5253.04,Savannah,bench at bus stop,bench at bus stop,ext,++,day
5257.32,Bayou La Batre,Foursquare Church,Foursquare Church,int,-,day
5263.16,Bayou La Batre,Foursquare Church,in front of Foursquare Church,ext,++,day
5272.52,Bayou La Batre,Gump Medical Center,Gump Medical Center,ext,++,day
5278.8,Bayou La Batre,Bubba's Home,Bubba's Home,ext,++,day
5290.4,Savannah,bench at bus stop,bench at bus stop,ext,++,day
5292.08,Bayou La Batre,Bubba's mother's dining room,Bubba's mother's dining room,int,-,day
5298.48,Greenbow Alabama,football field,on the football field,ext,++,day
5307.2,Gump property,Gump House,front of Gump House,ext,++,night
5318.04,Gump property,Gump House,front of Gump House,ext,0,night
5327,Gump property,Gump House,front of Gump House,ext,0,night
5349.12,Gump property,Gump House,garden,ext,+,day
5368.04,Gump property,Gump House,front of Gump House,ext,0,day
5381.76,Gump property,Gump House,garden,ext,0,day
5387.48,Gump property,Gump House,garden,ext,0,day
5390.24,Gump property,Gump House,garden,ext,0,day
5399.64,Gump property,Gump House,garden,ext,0,day
5401.88,Gump property,Gump House,garden,ext,0,day
5404.2,Gump property,Gump House,garden,ext,0,day
5409.32,Gump property,Gump House,garden,ext,0,day
5411.36,Gump property,Gump House,garden,ext,0,day
5414.36,Gump property,Gump House,garden,ext,0,day
5417.48,Gump property,Gump House,garden,ext,0,day
5422.84,Gump property,Gump House,garden,ext,0,day
5429.92,Gump property,Gump House,Jenny's bedroom,int,++,day
5445.84,Greenbow Alabama,random meadow,random meadow,ext,++,day
5463.72,Greenbow Alabama,tree on a field,tree on a field,ext,++,day
5474,Gump property,Gump House,unknown_1,int,++,day
5481.4,Gump property,Gump House,front of Gump House,ext,++,day
5488.68,Gump property,Gump House,front of Gump House,ext,++,day
5508.04,Greenbow Alabama,riverside,riverside,ext,++,day
5521,Gump property,Gump House,living room,int,++,night
5548.56,Gump property,Gump House,corridor downstairs,int,0,night
5560.96,Gump property,Gump House,corridor downstairs,int,0,night
5565.32,Gump property,Gump House,corridor downstairs,int,0,night
5569.36,Gump property,Gump House,corridor downstairs,int,0,night
5573.96,Gump property,Gump House,corridor downstairs,int,0,night
5579.24,Gump property,Gump House,corridor downstairs,int,0,night
5581.52,Gump property,Gump House,corridor downstairs,int,0,night
5592.68,Gump property,Gump House,corridor downstairs,int,0,night
5594.64,Gump property,Gump House,corridor downstairs,int,0,night
5598.08,Gump property,Gump House,corridor downstairs,int,0,night
5601.72,Gump property,Gump House,corridor downstairs,int,0,night
5605.04,Gump property,Gump House,front of Gump House,ext,+,night
5609.04,Gump property,Gump House,Forrest's bedroom,int,+,night
5630,Gump property,Gump House,Forrest's bedroom,int,0,night
5651.48,Gump property,Gump House,Forrest's bedroom,int,0,night
5662.64,Gump property,Gump House,front of Gump House,ext,++,day
5679.64,Gump property,Gump House,front of Gump House,ext,0,day
5689.4,Gump property,Gump House,Forrest's bedroom,int,0,day
5706.56,Gump property,Gump House,unknown_2,int,++,day
5720.04,Gump property,Gump House,Jenny's bedroom,int,++,day
5728.68,Gump property,Gump House,living room,int,++,day
5737,Gump property,Gump House,front of Gump House,ext,++,day
5756.4,Gump property,Gump House,front of Gump House,ext,0,day
5772.72,Gump property,access-road,alley to Gump House,ext,0,day
5779.28,Gump property,access-road,at the mail boxes,ext,+,day
5785.92,Greenbow Alabama,main street,in the barbershop,int,+,day
5790.52,Greenbow Alabama,road with bridge,road with bridge,ext,+,day
5798.84,Mississippi,road with Mississippi sign,road with Mississippi sign,ext,++,day
5804.44,Savannah,bench at bus stop,bench at bus stop,ext,++,day
5810.8,Santa Monica,yacht harbor,yacht harbor,ext,-,day
5815,Santa Monica,yacht harbor,yacht harbor's jetty,ext,+,day
5824.72,Atlantic Ocean,beacon,beacon,ext,++,day
5836.24,Atlantic Ocean,beacon,beacon,ext,0,day
5841.6,Savannah,bench at bus stop,bench at bus stop,ext,++,day
5847.24,Savannah,bench at bus stop,bench at bus stop,ext,0,day
5850.52,Savannah,bench at bus stop,bench at bus stop,ext,0,day
5853.56,United States,road at a river,road at a river,ext,-,day
5862.96,United States,road between wheat fields,road between wheat fields,ext,++,day
5869.88,Rocky Mountains,stone bridge,stone bridge,ext,++,day
5877.36,United States,road between fences,road between fences,ext,++,day
5884.28,United States,autumn forrest,autumn forrest with houses,ext,++,day
5894.32,United States,autumn forrest,road trough autumn forrest,ext,+,day
5900.36,Greenbow Alabama,main street,in the barbershop,int,+,day
5906.64,Greenbow Alabama,main street,in the barbershop,int,+,day
5908.88,Savannah,restaurant,restaurant,int,+,day
5922.32,Mississippi,bridge at mississippi river,bridge at mississippi river,ext,0,day
5938.96,Savannah,bench at bus stop,bench at bus stop,ext,++,day
5940.6,United States,street with houses,street with houses,ext,-,day
5945.08,Savannah,bench at bus stop,bench at bus stop,ext,++,day
5950.44,United States,street with houses,street with houses,ext,-,day
5962.48,United States,street in mountains,street in mountains,ext,++,day
5967.84,United States,street in desert,street in desert,ext,++,day
5973.36,Savannah,bench at bus stop,bench at bus stop,ext,++,day
5980.16,United States,street with sidewalk,street with sidewalk,ext,-,day
6012.2,United States,street with crashing cars,street with crashing cars,ext,++,day
6015.4,United States,truck stop,truck stop,ext,-,day
6036.76,United States,truck stop,truck stop,ext,0,day
6041.72,United States,truck stop,truck stop,ext,0,day
6045.64,Monument Valley,road through Monument Valley,road through Monument Valley,ext,++,day
6078.24,Monument Valley,road through Monument Valley,road through Monument Valley,ext,0,day
6088,Monument Valley,road through Monument Valley,road through Monument Valley,ext,0,day
6106.76,Monument Valley,road through Monument Valley,road through Monument Valley,ext,0,day
6134.68,Washington D.C.,Hilton Hotel,Ronald Reagon (broadcast),ext,++,day
6141.12,Gump property,Gump House,living room,int,0,day
6153.68,Savannah,bench at bus stop,bench at bus stop,ext,++,day
6190,Savannah,bench at bus stop,bench at bus stop,ext,0,day
6200.12,Savannah,Jenny's apartment,Jenny's apartment's front door,int,+,day
6202.32,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6205.44,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6207.16,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6228.48,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6232.24,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6238.04,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6245.52,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6284.56,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6287.96,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6298.96,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6302.08,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6303.92,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6311.36,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6339,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6343.2,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6355.2,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6359.32,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6391.08,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6405.84,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6411.92,Savannah,Jenny's apartment,Jenny's apartment,int,0,day
6418.04,Savannah,park with playground,park with playground,ext,+,day
6441.68,Savannah,park with playground,park with playground,ext,0,day
6462.32,Savannah,park with playground,park with playground,ext,0,day
6466.48,Savannah,park with playground,park with playground,ext,0,day
6474.04,Gump property,Gump House,front of Gump House,ext,++,day
6512,Gump property,Gump House,front of Gump House,ext,0,day
6515.72,Gump property,Gump House,front of Gump House,ext,0,day
6518,Gump property,Gump House,front of Gump House,ext,0,day
6521.16,Gump property,Gump House,front of Gump House,ext,0,day
6525.56,Gump property,Gump House,front of Gump House,ext,0,day
6533.76,Gump property,Gump House,front of Gump House,ext,0,day
6536.32,Gump property,Gump House,front of Gump House,ext,0,day
6543.76,Gump property,Gump House,front of Gump House,ext,0,day
6551.28,Gump property,Gump House,front of Gump House,ext,0,day
6554.4,Gump property,Gump House,front of Gump House,ext,0,day
6560.52,Gump property,Gump House,front of Gump House,ext,0,day
6565.32,Gump property,Gump House,front of Gump House,ext,0,day
6567.4,Gump property,Gump House,front of Gump House,ext,0,day
6575.64,Gump property,Gump House,front of Gump House,ext,0,day
6580.04,Gump property,Gump House,front of Gump House,ext,0,day
6582.08,Gump property,Gump House,front of Gump House,ext,0,day
6584.44,Gump property,Gump House,garden,ext,+,day
6599.4,Gump property,access-road,alley to Gump House,ext,++,day
6613.64,Gump property,Gump House,Forrest's mother's bedroom,int,++,day
6622.4,Gump property,Gump House,Forrest's mother's bedroom,int,0,day
6629.52,Gump property,Gump House,Forrest's mother's bedroom,int,0,day
6632.4,Gump property,Gump House,Forrest's mother's bedroom,int,0,day
6652.08,Gump property,Gump House,Forrest's mother's bedroom,int,0,day
6658.76,Vietnam,yet another jungle,yet another jungle,ext,-,night
6670.4,Gump property,Gump House,Forrest's mother's bedroom,int,++,day
6671.88,Gump property,Gump House,Forrest's mother's bedroom,int,0,day
6676.28,Bayou La Batre,on the boat,on the boat,ext,-,day
6684.68,Rocky Mountains,street at a lake,street at a lake,ext,++,day
6692.96,Gump property,Gump House,Forrest's mother's bedroom,int,++,day
6696.28,Monument Valley,road through Monument Valley,road through Monument Valley,ext,-,day
6709,Gump property,Gump House,Forrest's mother's bedroom,int,++,day
6711.84,Gump property,Gump House,Forrest's mother's bedroom,int,0,day
6715.8,Gump property,Gump House,Forrest's mother's bedroom,int,0,day
6720.84,Gump property,Gump House,Forrest's mother's bedroom,int,0,day
6724.28,Gump property,Gump House,Forrest's mother's bedroom,int,0,day
6727.36,Gump property,Gump House,Forrest's mother's bedroom,int,0,day
6729.56,Gump property,Gump House,Forrest's mother's bedroom,int,0,day
6732.28,Gump property,Gump House,Forrest's mother's bedroom,int,0,day
6739.2,Greenbow Alabama,tree on a field,Jenny's Grave,ext,++,day
6746.12,Greenbow Alabama,tree on a field,Jenny's Grave,ext,0,day
6754.68,Greenbow Alabama,Jenny's house,front of Jenny's house,ext,-,day
6759.92,Greenbow Alabama,tree on a field,Jenny's Grave,ext,++,day
6765.88,Greenbow Alabama,tree on a field,Jenny's Grave,ext,0,day
6771.24,Greenbow Alabama,tree on a field,Jenny's Grave,ext,0,day
6778.24,Gump property,Gump House,Forrest's bedroom,int,-,night
6786.8,Greenbow Alabama,tree on a field,Jenny's Grave,ext,++,day
6800.56,Gump property,Gump House,front of Gump House,ext,-,night
6807.28,Greenbow Alabama,riverside,riverside,ext,++,day
6813.6,Greenbow Alabama,tree on a field,Jenny's Grave,ext,++,day
6839.08,Greenbow Alabama,tree on a field,Jenny's Grave,ext,0,day
6843.96,Greenbow Alabama,tree on a field,Jenny's Grave,ext,0,day
6855.48,Greenbow Alabama,tree on a field,Jenny's Grave,ext,0,day
6919.24,Greenbow Alabama,tree on a field,Jenny's Grave,ext,0,day
6944.84,Gump property,access-road,at the mail boxes,ext,++,day
6952.16,Gump property,access-road,at the mail boxes,ext,0,day
6961.56,Gump property,access-road,at the mail boxes,ext,0,day
6965.68,Gump property,access-road,at the mail boxes,ext,0,day
6968.32,Gump property,access-road,at the mail boxes,ext,0,day
6974.68,Gump property,access-road,at the mail boxes,ext,0,day
6977.76,Gump property,access-road,at the mail boxes,ext,0,day
6979.32,Gump property,access-road,at the mail boxes,ext,0,day
6980.84,Gump property,access-road,at the mail boxes,ext,0,day
6985.92,Gump property,access-road,at the mail boxes,ext,0,day
6987.88,Gump property,access-road,at the mail boxes,ext,0,day
6991.72,Gump property,access-road,at the mail boxes,ext,0,day
6993.12,Gump property,access-road,at the mail boxes,ext,0,day
7004.32,Gump property,access-road,at the mail boxes,ext,0,day
7005.88,Gump property,access-road,at the mail boxes,ext,0,day
7008,Gump property,access-road,at the mail boxes,ext,0,day
7013,Gump property,access-road,at the mail boxes,ext,0,day
7022,Gump property,access-road,at the mail boxes,ext,0,day
7082.2,FIRST BLACK FRAME,,,,,