,subject,embed_method,avg_difference,ROI
0,1,TPHATE,0.047831933,high_Visual
1,2,TPHATE,-0.002467716,high_Visual
2,3,TPHATE,-1.51e-05,high_Visual
3,4,TPHATE,-0.133744025,high_Visual
4,5,TPHATE,0.087006536,high_Visual
5,6,TPHATE,0.029616762,high_Visual
6,7,TPHATE,-0.053367365,high_Visual
7,8,TPHATE,0.037797259,high_Visual
8,9,TPHATE,-0.019821797,high_Visual
9,10,TPHATE,0.149668482,high_Visual
10,11,TPHATE,-0.07845635599999999,high_Visual
11,12,TPHATE,-0.0052091,high_Visual
12,13,TPHATE,0.024709663,high_Visual
13,14,TPHATE,0.025840281,high_Visual
14,15,TPHATE,0.124017436,high_Visual
15,16,TPHATE,0.08508408199999999,high_Visual
16,1,UMAP,0.018942645,high_Visual
17,2,UMAP,0.0017706120000000002,high_Visual
18,3,UMAP,-0.011282199,high_Visual
19,4,UMAP,0.033225752000000004,high_Visual
20,5,UMAP,-0.094286359,high_Visual
21,6,UMAP,0.009668554000000001,high_Visual
22,7,UMAP,-0.023603254,high_Visual
23,8,UMAP,0.026894169,high_Visual
24,9,UMAP,0.008070991,high_Visual
25,10,UMAP,0.020811468,high_Visual
26,11,UMAP,0.052062745,high_Visual
27,12,UMAP,0.013673738000000001,high_Visual
28,13,UMAP,0.010946812,high_Visual
29,14,UMAP,0.011335078,high_Visual
30,15,UMAP,0.018527133,high_Visual
31,16,UMAP,0.000343893,high_Visual
32,1,PCA,0.00215063,high_Visual
33,2,PCA,-0.00043843800000000003,high_Visual
34,3,PCA,-0.006176759,high_Visual
35,4,PCA,-0.008697543,high_Visual
36,5,PCA,0.023703388,high_Visual
37,6,PCA,-0.0029033279999999997,high_Visual
38,7,PCA,-0.008237465,high_Visual
39,8,PCA,0.004467191,high_Visual
40,9,PCA,-0.00443195,high_Visual
41,10,PCA,0.009181624000000001,high_Visual
42,11,PCA,-0.010901053999999999,high_Visual
43,12,PCA,0.006035680999999999,high_Visual
44,13,PCA,0.000599914,high_Visual
45,14,PCA,0.044882955,high_Visual
46,15,PCA,0.014053351,high_Visual
47,16,PCA,0.00680369,high_Visual
48,1,PHATE,0.0050327,high_Visual
49,2,PHATE,-0.007094589,high_Visual
50,3,PHATE,-0.014792709,high_Visual
51,4,PHATE,0.015667843,high_Visual
52,5,PHATE,-1.62e-05,high_Visual
53,6,PHATE,0.0038031479999999997,high_Visual
54,7,PHATE,-0.0039144259999999995,high_Visual
55,8,PHATE,0.00676021,high_Visual
56,9,PHATE,-0.0037425759999999996,high_Visual
57,10,PHATE,0.011392741000000001,high_Visual
58,11,PHATE,-0.00286627,high_Visual
59,12,PHATE,-0.003651109,high_Visual
60,13,PHATE,-0.00016429700000000002,high_Visual
61,14,PHATE,0.046689346,high_Visual
62,15,PHATE,0.05943757,high_Visual
63,16,PHATE,-0.017562548,high_Visual
0,1,TPHATE,0.155323283,aud_early
1,2,TPHATE,-0.025422972999999998,aud_early
2,3,TPHATE,0.030584213,aud_early
3,4,TPHATE,-0.078310377,aud_early
4,5,TPHATE,0.08705105099999999,aud_early
5,6,TPHATE,0.116645988,aud_early
6,7,TPHATE,0.037299329,aud_early
7,8,TPHATE,0.12946781599999999,aud_early
8,9,TPHATE,0.030198749,aud_early
9,10,TPHATE,0.003074103,aud_early
10,11,TPHATE,0.100556274,aud_early
11,12,TPHATE,-0.05200442,aud_early
12,13,TPHATE,0.072274771,aud_early
13,14,TPHATE,0.035518846,aud_early
14,15,TPHATE,-0.057107872999999996,aud_early
15,16,TPHATE,0.070701162,aud_early
16,1,UMAP,-0.012690861999999999,aud_early
17,2,UMAP,0.030187792999999997,aud_early
18,3,UMAP,0.027842197000000003,aud_early
19,4,UMAP,-0.018130636999999998,aud_early
20,5,UMAP,-0.087694497,aud_early
21,6,UMAP,0.012734921000000001,aud_early
22,7,UMAP,0.0029744159999999997,aud_early
23,8,UMAP,-0.0032239779999999997,aud_early
24,9,UMAP,0.003901407,aud_early
25,10,UMAP,0.077315495,aud_early
26,11,UMAP,0.020170614,aud_early
27,12,UMAP,0.038775371,aud_early
28,13,UMAP,0.045888529000000004,aud_early
29,14,UMAP,-0.0073636959999999994,aud_early
30,15,UMAP,0.06624327099999999,aud_early
31,16,UMAP,0.0066220540000000005,aud_early
32,1,PCA,-0.0008354069999999999,aud_early
33,2,PCA,0.012179638999999999,aud_early
34,3,PCA,0.026148482,aud_early
35,4,PCA,-0.003334128,aud_early
36,5,PCA,-0.009109573000000001,aud_early
37,6,PCA,-0.005957708000000001,aud_early
38,7,PCA,0.032843154,aud_early
39,8,PCA,0.001763872,aud_early
40,9,PCA,0.00747929,aud_early
41,10,PCA,0.018445913,aud_early
42,11,PCA,0.008008536,aud_early
43,12,PCA,0.02013084,aud_early
44,13,PCA,0.025759265,aud_early
45,14,PCA,-0.018731133,aud_early
46,15,PCA,-0.000911102,aud_early
47,16,PCA,0.03031759,aud_early
48,1,PHATE,0.035510314,aud_early
49,2,PHATE,0.022878556,aud_early
50,3,PHATE,0.025246202000000002,aud_early
51,4,PHATE,0.00630489,aud_early
52,5,PHATE,-0.009549548,aud_early
53,6,PHATE,-0.004425093,aud_early
54,7,PHATE,-0.021918642999999998,aud_early
55,8,PHATE,-4.29e-05,aud_early
56,9,PHATE,0.025761445,aud_early
57,10,PHATE,0.00331597,aud_early
58,11,PHATE,0.0037236509999999997,aud_early
59,12,PHATE,0.018162287,aud_early
60,13,PHATE,0.020194677,aud_early
61,14,PHATE,-0.006344418,aud_early
62,15,PHATE,-0.0038576220000000002,aud_early
63,16,PHATE,0.0206314,aud_early
0,1,TPHATE,0.03223646472119037,early_visual
1,2,TPHATE,0.02311127108477071,early_visual
2,3,TPHATE,-0.019456224572953828,early_visual
3,4,TPHATE,-0.0005269709893461444,early_visual
4,5,TPHATE,-0.017670685904068957,early_visual
5,6,TPHATE,-0.032889730401430936,early_visual
6,7,TPHATE,0.05190453314742991,early_visual
7,8,TPHATE,0.002238197604600717,early_visual
8,9,TPHATE,0.016075048264015783,early_visual
9,10,TPHATE,-0.022227003296704472,early_visual
10,11,TPHATE,-0.0046815101284236275,early_visual
11,12,TPHATE,-0.019365107107995008,early_visual
12,13,TPHATE,-0.02877364093085681,early_visual
13,14,TPHATE,0.08486732990470708,early_visual
14,15,TPHATE,0.0019374254287808452,early_visual
15,16,TPHATE,0.16122005918269167,early_visual
16,1,UMAP,0.009815375909871324,early_visual
17,2,UMAP,0.005574498602354333,early_visual
18,3,UMAP,-0.0039021166524235416,early_visual
19,4,UMAP,-0.0095839116907384,early_visual
20,5,UMAP,0.000302867498316872,early_visual
21,6,UMAP,0.0014764904445796214,early_visual
22,7,UMAP,0.02565504919751934,early_visual
23,8,UMAP,-0.011944125790528677,early_visual
24,9,UMAP,0.00053199579170115,early_visual
25,10,UMAP,0.007054014404025369,early_visual
26,11,UMAP,-0.01153409389114288,early_visual
27,12,UMAP,-0.012481215240057705,early_visual
28,13,UMAP,0.0016352074060275018,early_visual
29,14,UMAP,0.0003264843275902404,early_visual
30,15,UMAP,-0.03583159422096497,early_visual
31,16,UMAP,0.009073206874239676,early_visual
32,1,PCA,0.008222796692770843,early_visual
33,2,PCA,0.010178943442272569,early_visual
34,3,PCA,-0.010284612620796408,early_visual
35,4,PCA,-0.011369985159008177,early_visual
36,5,PCA,0.0019279413295489136,early_visual
37,6,PCA,0.003441622709919192,early_visual
38,7,PCA,-0.00620001041041193,early_visual
39,8,PCA,-0.002851323250746719,early_visual
40,9,PCA,-0.004562737054065621,early_visual
41,10,PCA,-0.0014837158248616608,early_visual
42,11,PCA,-0.0030210476426213127,early_visual
43,12,PCA,-0.012810591179144862,early_visual
44,13,PCA,0.0012496282406723874,early_visual
45,14,PCA,-0.007707958621854752,early_visual
46,15,PCA,-0.016277832299405368,early_visual
47,16,PCA,0.019597610006493345,early_visual
48,1,PHATE,-0.0034008261623872443,early_visual
49,2,PHATE,0.011556692334205152,early_visual
50,3,PHATE,-0.005788838920446711,early_visual
51,4,PHATE,-0.016859965968078167,early_visual
52,5,PHATE,-0.007236304449740215,early_visual
53,6,PHATE,0.0044699455407619815,early_visual
54,7,PHATE,-0.006363255178208007,early_visual
55,8,PHATE,-0.004451777247192146,early_visual
56,9,PHATE,0.010920171063807615,early_visual
57,10,PHATE,0.01641006771904396,early_visual
58,11,PHATE,0.005731980309062262,early_visual
59,12,PHATE,-0.01057119924674513,early_visual
60,13,PHATE,0.002527060527440454,early_visual
61,14,PHATE,-0.009103676224469151,early_visual
62,15,PHATE,-0.024005250230609856,early_visual
63,16,PHATE,0.014495719861638896,early_visual
0,1,TPHATE,0.0683983703537496,pmc_nn
1,2,TPHATE,0.110642136068411,pmc_nn
2,3,TPHATE,0.019885710827311227,pmc_nn
3,4,TPHATE,0.005199700917031478,pmc_nn
4,5,TPHATE,0.07918836698794206,pmc_nn
5,6,TPHATE,0.12476422343721234,pmc_nn
6,7,TPHATE,0.07516778561409296,pmc_nn
7,8,TPHATE,0.13767409455158855,pmc_nn
8,9,TPHATE,0.04587426299543376,pmc_nn
9,10,TPHATE,-0.015129323016024085,pmc_nn
10,11,TPHATE,-0.020818586401202616,pmc_nn
11,12,TPHATE,-0.006542186820526368,pmc_nn
12,13,TPHATE,0.07804631712198074,pmc_nn
13,14,TPHATE,0.01901019828865521,pmc_nn
14,15,TPHATE,0.07563300378650055,pmc_nn
15,16,TPHATE,0.12277616145682935,pmc_nn
16,1,UMAP,0.013131093604306292,pmc_nn
17,2,UMAP,-0.006813260959321792,pmc_nn
18,3,UMAP,-0.006979303487591388,pmc_nn
19,4,UMAP,-0.01746217703411326,pmc_nn
20,5,UMAP,-0.02102009895360109,pmc_nn
21,6,UMAP,0.0208563017247715,pmc_nn
22,7,UMAP,0.001943699189491929,pmc_nn
23,8,UMAP,0.015943279373684137,pmc_nn
24,9,UMAP,-0.00029262777832811485,pmc_nn
25,10,UMAP,0.0009986767752908276,pmc_nn
26,11,UMAP,0.0014023852120782238,pmc_nn
27,12,UMAP,0.01857260807680666,pmc_nn
28,13,UMAP,0.021874231809450872,pmc_nn
29,14,UMAP,-0.001751324639991526,pmc_nn
30,15,UMAP,0.004787067642247891,pmc_nn
31,16,UMAP,0.052651453007054906,pmc_nn
32,1,PCA,0.0011974744845709886,pmc_nn
33,2,PCA,0.001203341658308389,pmc_nn
34,3,PCA,0.02795923364990995,pmc_nn
35,4,PCA,0.004780152997555724,pmc_nn
36,5,PCA,0.020264896387690728,pmc_nn
37,6,PCA,0.030436807240304817,pmc_nn
38,7,PCA,0.033828772600138245,pmc_nn
39,8,PCA,0.009899883973930209,pmc_nn
40,9,PCA,0.009587178793535808,pmc_nn
41,10,PCA,0.002559994748749623,pmc_nn
42,11,PCA,-0.0005824674833079768,pmc_nn
43,12,PCA,0.01528936528158563,pmc_nn
44,13,PCA,0.016404423106698644,pmc_nn
45,14,PCA,-0.005561230148548443,pmc_nn
46,15,PCA,-0.015407060586411728,pmc_nn
47,16,PCA,-0.010896764069549113,pmc_nn
48,1,PHATE,-0.005467202245050311,pmc_nn
49,2,PHATE,0.03742942277434917,pmc_nn
50,3,PHATE,0.021760269703769267,pmc_nn
51,4,PHATE,0.003216239170319145,pmc_nn
52,5,PHATE,0.01512970651345812,pmc_nn
53,6,PHATE,0.03585270717118518,pmc_nn
54,7,PHATE,0.02165975300613395,pmc_nn
55,8,PHATE,0.010771317624072659,pmc_nn
56,9,PHATE,0.010803439117796205,pmc_nn
57,10,PHATE,0.008300863348463227,pmc_nn
58,11,PHATE,-0.0013704581599816414,pmc_nn
59,12,PHATE,0.01396493682279354,pmc_nn
60,13,PHATE,0.013965118798612284,pmc_nn
61,14,PHATE,0.001023397278936325,pmc_nn
62,15,PHATE,-0.003324522830803229,pmc_nn
63,16,PHATE,-0.004292596395253208,pmc_nn
